sample,stock_months,unique_permnos,mean_percent,std_percent,min_percent,p01_percent,p25_percent,median_percent,p75_percent,p90_percent,p99_percent,max_percent,high_fee_share_gt_1pct,util_mean_raw,util_median_raw,util_p90_raw,util_p99_raw,month
2020-10,3573,3573,2.2610965880212706,9.64324755898644,0.1,0.13561416,0.27969499999999997,0.302484,0.394232,2.1963268000000045,49.96293359999999,139.99349999999998,0.16036943744752308,12.759454590844083,4.634142499999999,39.192305,86.82900799999999,2020-10
2020-11,3561,3561,2.2864482645324347,9.981271436281379,0.1,0.1547856,0.280306,0.306794,0.36575599999999997,2.251544,52.97700600000006,214.6739,0.15501263689974726,12.013766650793919,4.088523,35.42427800000002,83.08401939999996,2020-11
2020-12,3663,3663,2.3618431984711985,9.310771954450596,0.1,0.16964958,0.27970399999999995,0.30711,0.398583,2.977577,52.675265,120.3532,0.16734916734916735,11.913291503906978,4.062879,35.48040599999998,79.04448460000002,2020-12
2021-01,3709,3709,2.3633184087355086,9.511470812123683,0.1,0.1410606,0.28120100000000003,0.312274,0.39274000000000003,2.9007708000000036,52.60324240000008,171.7976,0.1682394176327851,11.317255188675675,3.9795550000000004,34.064145999999994,78.52457429999994,2021-01
2021-02,3814,3814,2.611349783691663,10.060061862021593,0.1,0.13841966,0.2817235,0.31015,0.42527725000000005,3.401696900000001,60.637679799999894,113.2792,0.17802831672784478,11.230758113770364,4.1039715,32.875395,77.48837099999999,2021-02
2021-03,3875,3875,2.563035238709677,9.589738784824455,0.1,0.12500050000000001,0.278026,0.30372200000000005,0.45456700000000005,3.335926,54.66634919999994,114.9423,0.17961290322580645,12.094913676073,4.496014,35.74440800000003,81.21827020000002,2021-03
2021-04,3898,3898,2.668398732683427,10.111834858096792,0.1,0.15246294999999999,0.27800949999999996,0.30407449999999997,0.41363625000000004,3.847099900000001,58.612256099999755,129.8548,0.176757311441765,13.467970655791772,4.7602329999999995,41.84635699999999,86.2935796000001,2021-04
2021-05,3898,3898,2.4601098429964083,9.219598330879641,0.1,0.14346097000000002,0.2782975,0.302354,0.40247725,3.406626200000001,54.828947499999536,116.61300000000001,0.17521806054386865,13.479522273459265,4.985566,40.6896,84.74185799999995,2021-05
2021-06,3918,3918,2.6022417588055133,9.657694743239627,0.1,0.15093076,0.28236275,0.319334,0.6266515,4.074992500000002,51.67248229999991,191.7508,0.21260847371107708,12.505621083203884,4.459087,38.922808,77.51197049999999,2021-06
2021-07,3994,3994,2.6666034121181776,9.89025535066988,0.1,0.14495512,0.27967125000000004,0.305291,0.5691265,4.1825764,55.844419800000075,148.5791,0.21131697546319478,13.028154906022584,4.465086,41.60890799999999,79.68305079999996,2021-07
