model,month,status,n_stocks,objective_value,turnover,transaction_cost,short_borrow_cost,long_lending_revenue,gross_return,net_return,short_weight,gross_exposure,fee_exposure
M2,2020-11,CLARABEL_SOLVED,995,2.109537906837206,1.9487625049867858,0.009743812524933929,0.0020728150448252906,0.0005799874300217355,0.3243801764554153,0.31314353631567776,0.2500000113761146,1.5000000227522288,0.0020728150448252906
M2,2020-12,CLARABEL_SOLVED,999,1.7874750882087347,1.8339258957467024,0.009169629478733511,0.004136118469996156,3.098106088873593e-05,0.013203094644444585,-7.167224339634674e-05,0.25000001168905644,1.5000000233781134,0.004136118469996156
M2,2021-01,CLARABEL_SOLVED,1000,2.140147554094309,1.6052925076611901,0.00802646253830595,0.0008117687831694909,0.0003316072758381411,0.13120128421356786,0.12269466016793056,0.25000002145144257,1.5000000429028857,0.0008117687831694909
M2,2021-02,CLARABEL_SOLVED,998,1.8856160385806415,1.6550720353970931,0.008275360176985465,0.0014628965568071921,2.890599701715559e-05,-0.06176216570276393,-0.07147151643953943,0.2500000071331555,1.5000000142663104,0.0014628965568071921
M2,2021-03,CLARABEL_SOLVED,999,1.8675206181538873,1.5403572944660313,0.007701786472330157,0.0021122892261926604,1.7614865663584344e-05,0.017282916449109613,0.007486455616250381,0.25000001494140395,1.5000000298828065,0.0021122892261926604
M2,2021-04,CLARABEL_SOLVED,998,2.049181573057828,2.074613702932552,0.01037306851466276,0.0032779710353950187,1.6129605612723166e-05,-0.03275516704936193,-0.04639007699380698,0.2500000063925006,1.5000000127850008,0.0032779710353950187
M2,2021-05,CLARABEL_SOLVED,997,1.6441382320689233,2.16080515384832,0.010804025769241601,0.0018570605889904508,2.5498554049732602e-05,-0.005880394430631798,-0.01851598223481412,0.25000001489167234,1.5000000297833445,0.0018570605889904508
M2,2021-06,CLARABEL_SOLVED,999,1.8555484737219525,1.7911504693853997,0.008955752346926998,0.002666382824484099,2.819327960690951e-05,0.08410736120899816,0.07251341931719396,0.2500000169204071,1.5000000338408133,0.002666382824484099
M2,2021-07,CLARABEL_SOLVED,998,1.6904881877286937,2.0995818089480873,0.010497909044740437,0.002290712841247246,2.4300638035822056e-05,-0.04204963579728581,-0.054813957045237664,0.25000002381162145,1.500000047623244,0.002290712841247246
M2,2021-08,CLARABEL_SOLVED,997,2.0748422273353846,2.4327780240556898,0.012163890120278449,0.002355383962572805,3.2367981434945225e-05,-0.043514357685703636,-0.05800126378711994,0.25000004019773636,1.5000000803954738,0.002355383962572805
M2,2021-09,CLARABEL_SOLVED,998,1.7728483695767916,2.193837064055205,0.010969185320276026,0.0017065427485129794,3.07322951734775e-05,-0.023149772737811006,-0.03579476851142654,0.2500000230940336,1.5000000461880671,0.0017065427485129794
M2,2021-10,CLARABEL_SOLVED,998,1.9091105098838204,2.2005810763516203,0.011002905381758101,0.0017412525004718029,2.0290619439211825e-05,0.02128516920708461,0.008561301944293918,0.2500000218747995,1.5000000437495982,0.0017412525004718029
M2,2021-11,CLARABEL_SOLVED,997,1.6757970586734132,2.4396718882445416,0.012198359441222708,0.003233561113681848,2.971695956614377e-05,-0.062469850029688856,-0.07787205362502726,0.2500000042081557,1.5000000084163105,0.003233561113681848
